company,job_type,location,posted_date,source,summary,title,url
Nextar,remote,"Lombardy, Italy",2026-09-04,linkedin,,Sviluppatore Python/Next.js,https://it.linkedin.com/jobs/view/sviluppatore-python-next-js-at-nextar-4459968519?position=1&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=YDGxvNFhqWOD8QVeVR%2Fapg%3D%3D
Techyon,remote,"Albignasego, Veneto, Italy",2026-09-04,linkedin,,SOFTWARE DEVELOPER | PROGRAMMATORE FULL STACK | SVILUPPATORE BACK END PYTHON,https://it.linkedin.com/jobs/view/software-developer-programmatore-full-stack-sviluppatore-back-end-python-at-techyon-4461143927?position=2&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=rDp%2BDMGj4flV5hF28iEgjQ%3D%3D
Ticketoo,remote,Greater Rome Metropolitan Area,2026-09-04,linkedin,,Software Engineer,https://it.linkedin.com/jobs/view/software-engineer-at-ticketoo-4462804105?position=3&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=mKaIzm69GjasodhkPjPb4Q%3D%3D
AGM SOLUTIONS,remote,"Segrate, Lombardy, Italy",2026-09-04,linkedin,,AI & Python Developer,https://it.linkedin.com/jobs/view/ai-python-developer-at-agm-solutions-4463359911?position=4&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=cRRSO%2FOxLopdLY5XQ9jwPg%3D%3D
Hays,remote,"Gessate, Lombardy, Italy",2026-09-04,linkedin,,Software Developer Python Junior | Automazione Industriale,https://it.linkedin.com/jobs/view/software-developer-python-junior-automazione-industriale-at-hays-4461172665?position=5&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=yicVJNAIM2Afm4NMW1PFzw%3D%3D
iliad,remote,"Milan, Lombardy, Italy",2026-09-04,linkedin,,Software Engineer,https://it.linkedin.com/jobs/view/software-engineer-at-iliad-4461700377?position=6&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=got3L4Sf0c1%2F33FYoUAtmw%3D%3D
Duferco,remote,"Milan, Lombardy, Italy",2026-09-03,linkedin,,Senior Software Engineer,https://it.linkedin.com/jobs/view/senior-software-engineer-at-duferco-4450330834?position=7&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=aTrXhcJWES3TCi6queqkoQ%3D%3D
Proconsul Group,remote,"Rome, Latium, Italy",2026-09-04,linkedin,,Python Developer,https://it.linkedin.com/jobs/view/python-developer-at-proconsul-group-4461179537?position=8&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=Uvr%2Bh2csKCYkwf39TTxa4Q%3D%3D
Rextart,remote,Italy,2026-09-04,linkedin,,Sviluppatore Python,https://it.linkedin.com/jobs/view/sviluppatore-python-at-rextart-4463318833?position=9&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=ZbgSLv0aiLTkqoCTACCHng%3D%3D
BEGEAR,remote,Italy,2026-09-04,linkedin,,"Software Engineer Cloud-Native – Python, AWS, DevOps & Agentic AI",https://it.linkedin.com/jobs/view/software-engineer-cloud-native-%E2%80%93-python-aws-devops-agentic-ai-at-begear-4448409920?position=10&pageNum=0&refId=tNctJLjeCZ3B49I9UuHFdA%3D%3D&trackingId=%2BFW7Trv72DvLB96AfekFSQ%3D%3D
